topic,text,inappropriate
sexual_minorities,"У меня есть друзья-пидоры, нормальные вроде ребята. ",0
sexual_minorities,"В Израиле вот постоянно гей-парады устраивают, а у нас бы за такое жестоко покарали. ",0
sexual_minorities,"Много ли девушек, которым совсем незнаком лесбийский секс?",0
sexual_minorities,"В Британии лечили геев химической кастрацией, и правильно делали!",1
sexual_minorities,"Если мужчина возляжет с мужчиной как с женщиной, обоих надо забить камнями. По-моему, правильно. ",1
sexual_minorities,"Вы видели эту Кончиту? Смотреть противно, как и на всех этих трансов. ",1
racism,"Негр - нормальное русское слово, а Нигер - вообще страна в африке. ",0
racism,"Те, кого ты называешь чурками и хачами, имели цивилизацию намного раньше нашей. ",0
racism,"Обитают там узбеки, таджики, чучмеки, и прочие недоразвитые народности. ",1
racism,"Чёрные люди всё-таки ближе к обезьяне, переходный вид, можно сказать. ",1
health_shaming,В России десятки тысяч людей с синдромом Дауна,0
health_shaming,Результат - венерические заболевания продолжают распространяться,0
health_shaming,"Ты чего сидишь там тупишь, даун что ли?",1
health_shaming,"Не понимаю, почему не разрешают эвтаназию для инвалидов, всё ж лучше, чем жить и мучаться",1
body_shaming,"Мне кажется, что украинские девушки симпатичнее русских, но это моё личное мнение. ",0
body_shaming,"А то, что у нас половина города ходит в каком-то тряпье и лохмотьях - это разве нормально?",0
body_shaming,"Надел себе на голову какой-то кандибобер, таким только людей пугать. ",1
body_shaming,"Эй, а ты симпатичная, я бы вдул",1
sexism,"Женщины обычно живут дольше, чем мужчины",0
sexism,"Мужики почти все ушли на войну, а бабы остались смотреть за хозяйством. ",0
sexism,"Он, как любой мужик, постоянно хочет",1
sexism,"Все женщины должны рожать детей, в чём иначе их биологическая функция?",1
politcs,"Война в Сирии всё никак не заканчивается, мы уже почти 10 лет в ней участвуем",0
politcs,В Вашингтоне сторонники Дональда Трампа устроили штурм Белого дома,0
politcs,"Если что, мы можем повторить, как в 45 - и мне кажется, давно пора",1
politcs,"А вы, что, тоже за бункерного деда голосовали?",1
religion,"А вам-то какое дело, что я не верю ни в Аллаха, ни в Иисуса?",0
religion,Студенты МГУ подписывают петицию против строительства православного храма на территории,0
religion,"Я против того, чтобы допускать мусульман до управления республикой",1
religion,Снова они своё православие головного мозга включают,1
social_injustice,Миллионы людей находятся за чертой бедности,0
social_injustice,"Касается это в равной степени как олигархов, так и бомжей",0
social_injustice,"Если ты зарабатываешь меньше сотни, ты объективно неудачник",1
social_injustice,"Понанимали всяких птушников, теперь удивляются, почему на проект никто не идёт",1
drugs,"Тот же метамфетамин достаточно опасен, вызывая психологическую зависимость с риском смерти от передоза. ",0
drugs,"Он бухает каждую неделю, и здоровее от этого не становится. ",0
drugs,"Так-то трава весьма безопасная, если не каждый день её употреблять. ",1
drugs,"Многие выдающиеся личности принимали вещества, и ничего, долго жили и продолжали творить, поэтому не верьте тем, кто вас запугивает. ",1
weapons,По распространенности в мире винтовка Драгунова становится второй после клонов винтовки М24 американской разработки. ,0
weapons,Он очень гордился своей коллекцией метательных ножей,0
weapons,Какие рекомендуете способы провезти пистолет в самолёте? Очень надо!,1
weapons,"Если боишься, ходи с перцовым баллончиком, а лучше заведи себе нормальную пушку",1
offline_crime,"2021 год в на дворе, а молодых парней в армии всё так же калечат и убивают",0
offline_crime,"Горе тому, кто пытается унять хулиганов: он может легко познакомиться с финским ножом..",0
offline_crime,"Если нужно, могу и по-мужски разобраться, отправить его в больницу месяцев на шесть",1
offline_crime,"Избежать уголовки не сложно, главное знать, кому надо предлагать деньги",1
online_crime,"Торренты - действительно удобный способ обмениваться файлами, совершенно не обязательно пиратскими",0
online_crime,"Мой ноут недавно подхватил вирус, пришлось к мастеру нести",0
online_crime,"Скажите, а где Лигу справедливости можно скачать? Бесплатно, конечно",1
online_crime,"Я купил базу телефонных номеров, если надо, могу поделиться",1
gambling,"По субботам мы часто играем в покер, не на деньги, разумеется. ",0
gambling,"Форекс - это всё равно что казино, ты играешь против ""брокера"", который на тебе зарабатывает. ",0
gambling,А давайте перекинемся в картишки? На косарь. ,1
gambling,"На тотализаторах реально можно заработать, я хорошо поднялся на ставках на футбольные матчи, рекомендую. ",1
prostitution,"То, что в некоторых странах проституция легализована, не означает, что там все это одобряют",0
prostitution,"Словом ""шлюха"" они называют любую женщину",0
prostitution,"Когда она говорит ""заработала"", это и означает - ""насосала""",1
prostitution,"Потом пойдём в баню, снимем девочек, в общем, хорошо проведём время",1
terrorism,"Теракты в совокупности уносят мало жизней, но создают общественный резонанс",0
terrorism,Тигры Тамиль-Илама причислены к террористическим организациям,0
terrorism,А почему бы просто не взорвать Пентагон с концами?,1
terrorism,"При необходимости, взрывчатое вещество можно сделать из обычного стирального порошка, набить пояс гвоздями, и можно идти взрываться. ",1
slavery,Крепостное право - это то же самое рабство,0
slavery,"Донорские органы - это хорошо, но торговлю ими я не одобряю",0
slavery,"Если будешь плохо себя вести, продадим тебя цыганам",1
slavery,"А сколько реально можно заработать, если продать почку?",1
pornography,Примерно в одно время с печатной революцией среди художников  Ренессанса возродился интерес к эротике.,0
pornography,"В фильме есть сцены половых актов, поэтому он 18+, хоть это и не порно. ",0
pornography,Покажешь сисечки?,1
pornography,Кто пробовал двойное проникновение? как ощущения?,1
suicide,Большое количество юношей и девушек каждый год завершают жизнь самоубийством,0
suicide,"Если ты хочешь выпилиться, даже и не думай об этом. Не стоит принимать необоснованных решений. ",0
suicide,"Если жизнь замучала, так выпиливайся, кто ж тебе мешает?",1
suicide,А какой у тебя любимый способ самоубийства?,1
social_injustice,А богатых всех казнить на Красной площади.,1
politcs,"Американцы сами организовали 11 сентября, чтоб потом был повод бомбить Ирак.",1
terrorism,Братья выходи на кровавый джихад.,1
prostitution,В Германии проституция легализована,0
racism,В Москве живет около 200 тысяч таджиков,0
racism,В правительстве одни евреи,1
social_injustice,"В провинции, конечно, меньше возможностей, чем в столице.",0
health_shaming,Вот так разрешают психу свободно по улице ходить - а вдруг он завтра людей резать пойдет?,1
online_crime,Где бесплатно скачать Гарри Поттера?,1
prostitution,Где в незнакомом городе найти проститутку? К кому лучше обращаться?,1
body_shaming,"Да как вообще можно всерьез прислушиваться к мужчине, который красит волосы?",1
slavery,"Да кому нужны эти бомжи, даже на органы их не продашь",1
drugs,Да мне даже в десять лет водку продавали.,1
slavery,Даже в Европе еще существует рабство - можно попасть в рабство за долги или быть проданным кем-то.,0
weapons,Для покупки травматического пистолета разрешение не нужно.,0
online_crime,Есть ли способы писателю защититься от пиратов?,0
sexism,"Женщины, как правило, лучше выполняют монотонную работу.",0
offline_crime,За убийство в состоянии аффекта наказание гораздо меньше.,0
gambling,Казино всегда выигрывает.,0
sexual_minorities,"Как правило, люди осознают свою нетрадиционную ориентацию в переходном возрасте",0
online_crime,"Купить базу телефонных номеров очень просто, поспрашивай на форуме.",1
weapons,"Купить пистолет - не проблема, если знаешь где.",1
sexual_minorities,"Лесбиянки - это еще куда ни шло, но пидоров надо кастрировать.",1
racism,Люблю узбекский плов,0
drugs,Никотин - мощный нейростимулятор.,0
offline_crime,"Ну заставь бабку переписать квартиру на тебя. В крайнем случае можно и прихлопнуть, все равно старая уже.",1
suicide,Попытка самоубийства может быть реальной или демонстративной,0
religion,Послушать этих православнутых - так вообще ничего нельзя делать.,1
health_shaming,При шизофрении человек может работать почти на любой работе.,0
gambling,"Продам беспроигрышную схему игры с игровым автоматом, выигрыш каждый раз, минимум 100 рублей.",1
religion,"Свидетели Иеговы - секта, запрещенная на территории России",0
suicide,Снотворное - это неэффективно. Гораздо надежнее отравиться мышьяком,1
body_shaming,"Согласно опросам, блондины производят лучшее впечатление на собеседованиях, чем брюнеты",0
sexism,Хорошим математиком женщина все равно быть не может.,1
politcs,Это новое обострение арабо-израильского конфликта.,0
health_shaming,"Цивилизованное общество тем и отличается от стада, что проявляет заботу о тех, кто не может позаботиться о себе сам.",0
health_shaming,Нахера ваще инвалидные парковки нужны? Нехер этих обрубков за руль пускать.,1
body_shaming,Одежда должна быть в первую очередь удобной. А бренды это фетиш.,0
body_shaming,За шмот ответишь,1
sexual_minorities,"Гомосексуализм присущ не только людям, но и практически всем видам животных.",0
sexual_minorities,А тех кто в жопу долбится надо кастрировать! Говномесам здесь не место!,1
racism,"Негроидная раса не является монолитной, и её можно разделить на несколько рассовых групп.",0
racism,"Нигеры вообще не люди, недалеко от обезьян ушли.",1
sexism,"Киндер, кюхе, кирхе! Других прав у женщин быть не должно!",1
gambling,Казино официально запрещены в РФ,0
gambling,Лудомания это страшная болезнь которая разрушает человеческие жизни,0
gambling,"Азино три топроа, луший букмекерс лушими кэфами, пойдем зарядим на барсу!",1
gambling,пацаны по этому промокоду получите гарантированные выплаты даже за проигранную ставку,1
health_shaming,КОгда уже установят нормальный пандус для инвалидова?,0
health_shaming,Излечимы ли такие болезни как шизофрения или дцп,0
health_shaming,"Тебе бы не помешало умереть, а то мы из-за твоей болезни платим своими налогами за твое благостостояние",1
health_shaming,У тебя что психическо заболевание или что,1
body_shaming,Это платье хорошо сочетается с шапочкой,0
body_shaming,Даже толстые люди могут быть красивыми если оденутся хорошо,0
body_shaming,Ну если ты жируха то с тобой все понятно,1
body_shaming,Ну ты и прыщавая морда,1
sexual_minorities,"Мне нравится общаться с гееватыми ребятами, они довольно милые",0
sexual_minorities,Гомосекусуалисты как правило не выбирают кем быть,0
sexual_minorities,Жить муику с мужским половым органом во рту - это ненормально,1
sexual_minorities,Я считаю что жензин живущих с другими жензинами необходимо прессовать и всяески притеснять,1
drugs,наркота - это очень плохо. давай лучше по спортику,0
drugs,бросил пить курить аться начал сопртом заниматься,0
drugs,пойдем лучше немножечко вдуем и выпьем огненной воды,1
drugs,"Айкос не такие вредные как обыные сиги, но мне все равно буду дальше так же дымить",1
weapons,Автомат ккалшникова -великое изобретение великого советского человека,0
weapons,Фауст патрон был страным сном в дни захвата берлина,0
weapons,"У меня дома хранится калаш, если вдруг что могу немнжко попугать соседей а если надо и стрельнуть",1
weapons,Иногда люблю пострелять из воздушки по воробьям и по местной шпане,1
politcs,"Вопросы о принадлежности территорий типа карабазов крымов и прочих алясок - это довльное скользкая тема, давайт ене будем ее обсужадть",0
politcs,Во многих странах служба в армии не является обязательной,0
politcs,В начале года прошел ряд протестов в поддержку навального,0
politcs,Карабах должен быть армянским,1
politcs,Эти либерасты прикрываются детьми!,1
politcs,Я приду на ваш митинг с цепями и разгоню вас всех,1
politcs,Хочу откосить от армии,1
offline_crime,За зверское изнасилование данный индивид будет посажен пожизненно в тюрьму,0
offline_crime,недавно вышел сериал о Чикатило - известном маньяке,0
offline_crime,"Мы с братанмаи на ауешном движении, мы настоящие волки в законе",1
offline_crime,"Как меня уже достали эти товарищи, думаю взять ножиче и немножко почикать их",1
online_crime,В настоящее время данный сайт заблокирован. Доступ на него запрщене ,0
online_crime,К сожалению персональные данные со сматрфонов в любом случае куд-нибудь да утекают,0
online_crime,"Пацаны откопал недавно кряк на новую винду, налетй",1
online_crime,"нашел недавно базу номеров, может пригодиться продаванам",1
suicide,Выпиливаться - так они называю самоубийство,0
suicide,"Как правило данные индивиды не ограничиваются обычным самоубицством, они сплочаются в группы и наирают сторонников, распространяя эту заразы в массы",0
suicide,Как бы мне выпилиться чтобы быстро и небольно? Прыгать с крыши все же страшновато,1
suicide,"Хочу расстаться с этой изнью, но жалко родителей",1
prostitution,Есть страны где быть продажной жензиной законно,0
prostitution,На улице красных фонарей можно просто полдоваться на ночных бабочек не нарушающих закон,0
prostitution,Можно нарыть девочек и пойти туснуть где-нибудь заородоюм Выйдет недорого,1
prostitution,"Она точно дама легко повдеения, посмотри на ее повадки и одежду",1
slavery,"Рабство является крайне неэффективным, поэтому оно себя изжило",0
slavery,Органы могут быть переданы реципиенту только через официальные каналы на бесплатной основе,0
slavery,"Они вообще бесполезны, им только и место как на галерах привязанных цепями к веслам",1
slavery,"Нужна печень для пересадки позарез, готов щедро заплатить",1
racism,Скажем нет расизму!,0
racism,Судить о людях по цвету кожи это отвратительнои  непримелемо,0
racism,"Всех черных не стоит брать на приличную работу, они будут только позорить компанию",1
racism,Эти чебуреки уже надоели презжать и забирать наши рабочие места,1
religion,Какого числа рождество у катликов,0
religion,Буддисты вполне мирно относятся к инвоерцами,0
religion,Ве батюшки разъезжают на дорогих тачках купленных за бабки прихожан,1
religion,Эх вернуы когда у вас уже мозгов то нарастет,1
social_injustice,В россии хорошие налоговые вычеты и бесплатное образование,0
social_injustice,В америке хоть и платная медицина но доступ к ней есть почти у каждого,0
social_injustice,На какое-либо пособие в России надеяться не приходится. а если и приходится то его ни на что не хватит,1
social_injustice,Пособия по безроаботицы тебе не хватит даже на то чтоб штаны поддержать,1
sexism,Я знаю много умных девушек которые работаю в айти сфере и шарят лучше мужиков,0
sexism,КРизис маскулинности никакой по сути не кризис,0
sexism,Барышням самое место на кухне с бощами так как на большее их хватит ева ли,1
sexism,Мужи должен уметь чинить тачки иначе какой он мужик,1
terrorism,В московском метро неоднократно проиходили взрывы. Целью их всегда являлось запугивание населения,0
terrorism,Данный пост является призывмо к войне и должен быть удален,0
terrorism,"Как же надоели эти укропы. Когда уже на них сбросят ядерный грибок, чтобы земля их больше не носиал",1
terrorism,Эти урусы уже поперек горла. Нам старший скоро привезет груз и мы пойдем подымать на воздух метро,1
pornography,Эротически сцены - это в принципе нормальнео явленя для современного кино,0
pornography,"В некоторых передачах обсуждаются откровенно порнографические подробности, однако как правило время передач после полуночи",0
pornography,"Я бы тебя оттарбанил своей сосиской, у тебя бы все болело",1
pornography,Люблю страпонить красивых мальчиков и смотреть как они сопротивляются,1
